悪衣悪食, あくいあくしょく, 衣服や食べ物が粗末であること
悪逆無道, あくぎゃくむどう, 度の過ぎた酷い悪事を行うこと。 残酷で無惨なこと
悪酔強酒, あくすいきょうしゅ, 望んでいることと、実際に行っていることが食い違っていること。 酔うのを嫌がりながら、無理をして酒を飲むという意味
悪戦苦闘, あくせんくとう, 困難を乗り越えようと、苦しみながら一心に頑張ること
悪徳商法, あくとくしょうほう, 販売者が不当な利益を得るような、社会通念上問題のある商売方法の通称。 悪質商法
悪婦破家, あくふはか, 夫を大切にしない悪妻は、家族の不仲の原因になって、家庭を崩壊させるという意味。 結婚相手は慎重に選べという教訓
悪木盗泉, あくぼくとうせん, どんなに苦しくても道理を外れた行いはしないこと。また、悪事には決して近付くなという教え
可惜身命, あたらしんみょう, 仏教用語。体や命を大切にすること
悪漢無頼, あっかんぶらい, 乱暴で信頼できない男性。 「悪漢」は字のごとく悪い男のこと
暗雲低迷, あんうんていめい, 良くない事が起こりそうな気配がすること。 黒雲が低く垂れ込め、今にも雨が降り出しそうな様子
安居危思, あんきょきし, 平和な時にも、最悪な事態を想定して備えておくことが大切であるということ。 諺の「備えあれば患いなし」と同義
晏子高節, あんしこうせつ, 脅迫や暴力に屈しない気高い志を意味する
安車蒲輪, あんしゃほりん, 老人をいたわり、手厚くもてなすこと。 また、賢人を優遇すること
安常処順, あんじょうしょじゅん, 平穏な日々に慣れ、順境に身をおく状況。無風状態の平和でのどかな暮らしをいう
暗箭傷人, あんせんしょうじん, 闇討ちをしたり、ひそかに中傷したりする卑劣な行いのこと。 「暗箭」は闇の中から矢を射ることを意味する
暗中飛躍, あんちゅうひやく, 人に知られないように密かに計画を立てて、見事な活躍をすること。 「暗躍」は、この熟語を略してできた言葉
暗中模索, あんちゅうもさく, 先が見えず、手がかりも掴めない状況で、様々な行動に取り組んで事態を打開しようとすること。 別表記：「暗中摸索」
暗闘反目, あんとうはんもく, 表立たずに水面下で対立すること。密かに睨み合うこと
安如泰山, あんにょたいざん, 中国の山東省にある名峰、泰山たいざん。その山のように構えた揺るぎない安定した様子を表す
安穏無事, あんのんぶじ, 世の中が穏やかで、これといった事件や事故がなく、平和なこと。 「安穏」は安らかな様子、穏やかな様子
安分守己, あんぶんしゅき, 身の程をわきまえて生き、高望みしないこと
以逸待労, いいつたいろう, 兵法三十六計の第四計。 逸を以て労を待つ
易往易行, いおういぎょう, 極楽往生は簡単で、そのための修行も容易であるという浄土宗の教え
位階勲等, いかいくんとう, 国家が、勲功や功績のあった者を賞するために与えた等級
衣冠盛事, いかんせいじ, 名門の家に生まれて功績をあげ、その家の盛んな名声を引き継ぐという意味
遺憾千万, いかんせんばん, 思いどおりに事が運ばず、非常に残念なこと
衣冠束帯, いかんそくたい, 昔の貴族や官僚が公事で着用した礼装のこと。 公卿の正装
意気昂然, いきこうぜん, 意気込みが盛んな様子。 いかにも誇らしげに振る舞うこと
意気消沈, いきしょうちん, 元気をなくして沈み込むこと。 積極的な気持ちが失せて消極的になっている様子
意気自如, いきじじょ, 物事に驚いたり恐れたりせず、気持ちが普段と変わらず落ち着いた精神状態を維持していること
意気阻喪, いきそそう, 意気込みを無くし、元気を失う様子。 「意気」は気力や気概
意気揚揚, いきようよう, 気持ちが高揚し、いかにも誇らしげに振る舞う様子。 「意気」は、元気・気概・意気込み
夷険一節, いけんいっせつ, 現在の状況や未来の運命が、平穏で楽しいものであろうと、また険しく厳しいものであろうと、節操を変えず信念を貫き通すこと...
意志堅固, いしけんご, 目的を果たそうとする思いが並外れて強いこと。 「意思」は物事をやり抜こうとする心
意志薄弱, いしはくじゃく, 意志が弱く、決断力や忍耐力に欠けること。 他人の言葉や行動の影響を受けやすいこと
衣繍夜行, いしゅうやこう, 奇麗な刺繍の衣服を着て夜道を歩くこと。成功しても人に知られないことの喩え
以升量石, いしょうりょうこく, 小人物・凡人の狭い心では大人物・賢人の大きな心を量り知ることは難しいということ
以身殉利, いしんじゅんり, 利益や欲望のために身を捨てることへの戒め。 つまらない人間は、自分の利益や欲望のために生きるということ
